time,tasmin_day_drought_HadGEM2-ES_rcp85_late_century
2046-10-05 00:00:00+00:00,283.32965
2046-10-06 00:00:00+00:00,280.5537
2046-10-07 00:00:00+00:00,280.49216
2046-10-08 00:00:00+00:00,282.59683
2046-10-09 00:00:00+00:00,285.01135
2046-10-10 00:00:00+00:00,283.1472
2046-10-11 00:00:00+00:00,280.62384
2046-10-12 00:00:00+00:00,281.2245
2046-10-13 00:00:00+00:00,283.27716
2046-10-14 00:00:00+00:00,281.25735
2046-10-15 00:00:00+00:00,281.21362
2046-10-16 00:00:00+00:00,279.93634
2046-10-17 00:00:00+00:00,280.23187
2046-10-18 00:00:00+00:00,281.6992
2046-10-19 00:00:00+00:00,281.3617
2046-10-20 00:00:00+00:00,283.94778
2046-10-21 00:00:00+00:00,282.9586
2046-10-22 00:00:00+00:00,280.48843
2046-10-23 00:00:00+00:00,284.6292
2046-10-24 00:00:00+00:00,282.29343
2046-10-25 00:00:00+00:00,280.93622
2046-10-26 00:00:00+00:00,283.90323
2046-10-27 00:00:00+00:00,283.79373
2046-10-28 00:00:00+00:00,282.20645
2046-10-29 00:00:00+00:00,277.93027
2046-10-30 00:00:00+00:00,277.75537
2046-10-31 00:00:00+00:00,277.9385
2046-11-01 00:00:00+00:00,277.5136
2046-11-02 00:00:00+00:00,276.418
2046-11-03 00:00:00+00:00,276.05292
2046-11-04 00:00:00+00:00,276.77692
2046-11-05 00:00:00+00:00,276.9801
2046-11-06 00:00:00+00:00,280.49704
2046-11-07 00:00:00+00:00,278.08353
2046-11-08 00:00:00+00:00,277.41046
2046-11-09 00:00:00+00:00,280.78845
2046-11-10 00:00:00+00:00,280.15314
2046-11-11 00:00:00+00:00,281.4398
2046-11-12 00:00:00+00:00,278.8177
2046-11-13 00:00:00+00:00,278.53723
2046-11-14 00:00:00+00:00,281.71622
2046-11-15 00:00:00+00:00,277.66522
2046-11-16 00:00:00+00:00,273.61945
2046-11-17 00:00:00+00:00,271.26913
2046-11-18 00:00:00+00:00,270.07672
2046-11-19 00:00:00+00:00,270.84634
2046-11-20 00:00:00+00:00,270.6457
2046-11-21 00:00:00+00:00,270.6425
2046-11-22 00:00:00+00:00,271.1626
2046-11-23 00:00:00+00:00,267.18488
2046-11-24 00:00:00+00:00,272.496
