time,tasmax_day_drought_HadGEM2-ES_rcp85_late_century
2046-07-17 00:00:00+00:00,295.98788
2046-07-18 00:00:00+00:00,296.38962
2046-07-19 00:00:00+00:00,297.793
2046-07-20 00:00:00+00:00,297.62073
2046-07-21 00:00:00+00:00,297.67136
2046-07-22 00:00:00+00:00,298.617
2046-07-23 00:00:00+00:00,300.94165
2046-07-24 00:00:00+00:00,300.72043
2046-07-25 00:00:00+00:00,299.35007
2046-07-26 00:00:00+00:00,299.2819
2046-07-27 00:00:00+00:00,297.4101
2046-07-28 00:00:00+00:00,297.7914
2046-07-29 00:00:00+00:00,298.55252
2046-07-30 00:00:00+00:00,298.55676
2046-07-31 00:00:00+00:00,299.67404
2046-08-01 00:00:00+00:00,301.50897
2046-08-02 00:00:00+00:00,300.82617
2046-08-03 00:00:00+00:00,299.1948
2046-08-04 00:00:00+00:00,299.17984
2046-08-05 00:00:00+00:00,300.87253
2046-08-06 00:00:00+00:00,301.9201
2046-08-07 00:00:00+00:00,300.56024
2046-08-08 00:00:00+00:00,297.39224
2046-08-09 00:00:00+00:00,296.84433
2046-08-10 00:00:00+00:00,297.33078
2046-08-11 00:00:00+00:00,300.2113
2046-08-12 00:00:00+00:00,299.55606
2046-08-13 00:00:00+00:00,301.8738
2046-08-14 00:00:00+00:00,300.09958
2046-08-15 00:00:00+00:00,301.00406
2046-08-16 00:00:00+00:00,300.96527
2046-08-17 00:00:00+00:00,299.89484
2046-08-18 00:00:00+00:00,301.11703
2046-08-19 00:00:00+00:00,301.42868
2046-08-20 00:00:00+00:00,299.61884
2046-08-21 00:00:00+00:00,299.4907
2046-08-22 00:00:00+00:00,300.21545
2046-08-23 00:00:00+00:00,300.0365
2046-08-24 00:00:00+00:00,299.54196
2046-08-25 00:00:00+00:00,298.19205
2046-08-26 00:00:00+00:00,299.38574
2046-08-27 00:00:00+00:00,300.2072
2046-08-28 00:00:00+00:00,298.84155
2046-08-29 00:00:00+00:00,300.65536
2046-08-30 00:00:00+00:00,301.12683
2046-08-31 00:00:00+00:00,300.5866
2046-09-01 00:00:00+00:00,297.51294
2046-09-02 00:00:00+00:00,297.68887
2046-09-03 00:00:00+00:00,297.2694
2046-09-04 00:00:00+00:00,298.6325
2046-09-05 00:00:00+00:00,298.75705
2046-09-06 00:00:00+00:00,301.9124
2046-09-07 00:00:00+00:00,300.36124
2046-09-08 00:00:00+00:00,295.78094
2046-09-09 00:00:00+00:00,295.5673
2046-09-10 00:00:00+00:00,297.5213
2046-09-11 00:00:00+00:00,299.03098
2046-09-12 00:00:00+00:00,301.2782
2046-09-13 00:00:00+00:00,301.56415
2046-09-14 00:00:00+00:00,300.69238
2046-09-15 00:00:00+00:00,300.53125
2046-09-16 00:00:00+00:00,300.3597
2046-09-17 00:00:00+00:00,300.47913
2046-09-18 00:00:00+00:00,300.6015
2046-09-19 00:00:00+00:00,300.9635
2046-09-20 00:00:00+00:00,301.2005
2046-09-21 00:00:00+00:00,301.3395
2046-09-22 00:00:00+00:00,303.49326
2046-09-23 00:00:00+00:00,303.73853
2046-09-24 00:00:00+00:00,302.14093
2046-09-25 00:00:00+00:00,303.9071
2046-09-26 00:00:00+00:00,302.38126
2046-09-27 00:00:00+00:00,305.25586
2046-09-28 00:00:00+00:00,304.5003
2046-09-29 00:00:00+00:00,303.74753
2046-09-30 00:00:00+00:00,300.4455
2046-10-01 00:00:00+00:00,298.4212
2046-10-02 00:00:00+00:00,298.8382
