time,pr_day_drought_HadGEM2-ES_rcp85_late_century
2046-12-18 00:00:00+00:00,0.0
2046-12-19 00:00:00+00:00,0.0
2046-12-20 00:00:00+00:00,0.27150002
2046-12-21 00:00:00+00:00,0.043
2046-12-22 00:00:00+00:00,0.0
2046-12-23 00:00:00+00:00,0.2705
2046-12-24 00:00:00+00:00,0.16549999
2046-12-25 00:00:00+00:00,0.48549998
2046-12-26 00:00:00+00:00,1.0335
2046-12-27 00:00:00+00:00,15.370001
2046-12-28 00:00:00+00:00,0.975
2046-12-29 00:00:00+00:00,0.0
2046-12-30 00:00:00+00:00,0.0355
2046-12-31 00:00:00+00:00,0.0
2047-01-01 00:00:00+00:00,0.0
2047-01-02 00:00:00+00:00,0.0
2047-01-03 00:00:00+00:00,0.0
2047-01-04 00:00:00+00:00,0.011500001
2047-01-05 00:00:00+00:00,0.0735
2047-01-06 00:00:00+00:00,2.5145004
2047-01-07 00:00:00+00:00,3.4145002
2047-01-08 00:00:00+00:00,2.4
2047-01-09 00:00:00+00:00,1.9894999
2047-01-10 00:00:00+00:00,0.116000004
2047-01-11 00:00:00+00:00,0.0
2047-01-12 00:00:00+00:00,6.1940002
2047-01-13 00:00:00+00:00,24.4895
2047-01-14 00:00:00+00:00,39.1145
2047-01-15 00:00:00+00:00,4.5485
2047-01-16 00:00:00+00:00,0.123500004
2047-01-17 00:00:00+00:00,6.3575006
2047-01-18 00:00:00+00:00,15.449
2047-01-19 00:00:00+00:00,9.492001
2047-01-20 00:00:00+00:00,11.491
2047-01-21 00:00:00+00:00,0.32049996
2047-01-22 00:00:00+00:00,0.72300005
2047-01-23 00:00:00+00:00,0.22
2047-01-24 00:00:00+00:00,0.0825
2047-01-25 00:00:00+00:00,0.0
2047-01-26 00:00:00+00:00,0.0
2047-01-27 00:00:00+00:00,0.0
2047-01-28 00:00:00+00:00,0.0
2047-01-29 00:00:00+00:00,0.0
2047-01-30 00:00:00+00:00,0.0
2047-01-31 00:00:00+00:00,0.0
2047-02-01 00:00:00+00:00,0.0055
2047-02-02 00:00:00+00:00,0.0
2047-02-03 00:00:00+00:00,4.143
2047-02-04 00:00:00+00:00,6.7175
2047-02-05 00:00:00+00:00,7.496
2047-02-06 00:00:00+00:00,16.6565
2047-02-07 00:00:00+00:00,0.1765
2047-02-08 00:00:00+00:00,2.6345
2047-02-09 00:00:00+00:00,39.493004
2047-02-10 00:00:00+00:00,21.846498
2047-02-11 00:00:00+00:00,0.010500001
2047-02-12 00:00:00+00:00,0.0
2047-02-13 00:00:00+00:00,0.8970001
2047-02-14 00:00:00+00:00,0.036
2047-02-15 00:00:00+00:00,0.0
2047-02-16 00:00:00+00:00,0.0
2047-02-17 00:00:00+00:00,0.0
2047-02-18 00:00:00+00:00,10.5775
2047-02-19 00:00:00+00:00,28.269499
2047-02-20 00:00:00+00:00,13.51
2047-02-21 00:00:00+00:00,0.0505
2047-02-22 00:00:00+00:00,0.008
2047-02-23 00:00:00+00:00,0.0
2047-02-24 00:00:00+00:00,0.142
2047-02-25 00:00:00+00:00,6.8659997
2047-02-26 00:00:00+00:00,3.12
2047-02-27 00:00:00+00:00,0.0
2047-02-28 00:00:00+00:00,0.0
2047-03-01 00:00:00+00:00,0.0
2047-03-02 00:00:00+00:00,0.0
2047-03-03 00:00:00+00:00,0.0
2047-03-04 00:00:00+00:00,0.0
2047-03-05 00:00:00+00:00,0.026500002
