time,et_day_drought_HadGEM2-ES_rcp85_late_century
2046-07-08 00:00:00+00:00,0.47788623
2046-07-09 00:00:00+00:00,0.35331115
2046-07-10 00:00:00+00:00,0.30055496
2046-07-11 00:00:00+00:00,0.26870853
2046-07-12 00:00:00+00:00,0.2393673
2046-07-13 00:00:00+00:00,0.20882827
2046-07-14 00:00:00+00:00,0.17857547
2046-07-15 00:00:00+00:00,0.37672985
2046-07-16 00:00:00+00:00,0.17339286
2046-07-17 00:00:00+00:00,0.13436183
2046-07-18 00:00:00+00:00,0.16049728
2046-07-19 00:00:00+00:00,0.26929915
2046-07-20 00:00:00+00:00,0.09964384
2046-07-21 00:00:00+00:00,0.08728157
2046-07-22 00:00:00+00:00,0.07948906
2046-07-23 00:00:00+00:00,0.07402726
2046-07-24 00:00:00+00:00,0.055014182
2046-07-25 00:00:00+00:00,0.041510016
2046-07-26 00:00:00+00:00,0.03873852
2046-07-27 00:00:00+00:00,0.030415723
2046-07-28 00:00:00+00:00,0.02731027
2046-07-29 00:00:00+00:00,0.022087317
2046-07-30 00:00:00+00:00,0.018781688
2046-07-31 00:00:00+00:00,0.01431506
2046-08-01 00:00:00+00:00,0.013323523
2046-08-02 00:00:00+00:00,0.013964591
2046-08-03 00:00:00+00:00,0.008270383
2046-08-04 00:00:00+00:00,0.007435777
2046-08-05 00:00:00+00:00,0.006868743
2046-08-06 00:00:00+00:00,0.0061292546
2046-08-07 00:00:00+00:00,0.0041085114
2046-08-08 00:00:00+00:00,0.0028046626
2046-08-09 00:00:00+00:00,0.0026540225
2046-08-10 00:00:00+00:00,0.0025746936
2046-08-11 00:00:00+00:00,0.0020394742
2046-08-12 00:00:00+00:00,0.001594574
2046-08-13 00:00:00+00:00,0.0014089285
2046-08-14 00:00:00+00:00,0.0010521736
2046-08-15 00:00:00+00:00,0.0006014109
2046-08-16 00:00:00+00:00,0.00040126737
2046-08-17 00:00:00+00:00,0.05797346
2046-08-18 00:00:00+00:00,0.0008145794
2046-08-19 00:00:00+00:00,0.00044739715
2046-08-20 00:00:00+00:00,0.20837414
2046-08-21 00:00:00+00:00,0.0052702655
2046-08-22 00:00:00+00:00,0.07509754
2046-08-23 00:00:00+00:00,0.0031702179
2046-08-24 00:00:00+00:00,0.002963345
2046-08-25 00:00:00+00:00,0.22278082
2046-08-26 00:00:00+00:00,0.0030217015
2046-08-27 00:00:00+00:00,0.002112821
2046-08-28 00:00:00+00:00,0.0016826111
2046-08-29 00:00:00+00:00,0.0015788247
2046-08-30 00:00:00+00:00,0.001340996
2046-08-31 00:00:00+00:00,0.0011593926
2046-09-01 00:00:00+00:00,0.00090997724
2046-09-02 00:00:00+00:00,0.0008278441
2046-09-03 00:00:00+00:00,0.00075515034
2046-09-04 00:00:00+00:00,0.00070040533
2046-09-05 00:00:00+00:00,0.00045440532
2046-09-06 00:00:00+00:00,0.0004182449
2046-09-07 00:00:00+00:00,0.00036621702
2046-09-08 00:00:00+00:00,0.00028861716
2046-09-09 00:00:00+00:00,0.00021338783
2046-09-10 00:00:00+00:00,0.2963904
2046-09-11 00:00:00+00:00,0.016363937
2046-09-12 00:00:00+00:00,0.014412322
2046-09-13 00:00:00+00:00,0.012471098
